time,X (m/s^2),Y (m/s^2),Z (m/s^2),label
0.0,0.9856229852729412,-0.4313859846905882,1.0306690117537056,handshake
0.5,-3.393720783754,-4.024062174952,-0.4656863141852,handshake
1.0,0.3286528130680001,-6.355668209445998,0.4838173919199999,handshake
1.5,0.9686871552759996,-6.555062099066,-0.033926983442426846,handshake
2.0,1.5094227247339995,-7.636509115867999,-0.09881829817528,handshake
2.5,1.6793835785172002,-6.129484959459998,-0.4974788211523999,handshake
3.0,2.8669328116603996,-4.438039603744,-0.7132917378235999,handshake
3.5,1.6715798384299998,-3.6432764950772,-0.25206692722742746,handshake
4.0,2.43388397406,-5.497468851192001,-0.0780274753079999,handshake
4.5,-0.4077775576159997,-4.00117682052,-1.0482998843668,handshake
5.0,-1.6562494092640003,-5.164992441572,-0.2322164876299999,handshake
5.5,-0.4287715288109998,-4.338040876377135,0.1583198366679999,handshake
6.0,-0.5562054168627448,-4.6700409182894775,-0.3747711297790195,handshake
6.5,0.98606232057188,-4.4556736408234,-0.0732845322748678,handshake
7.0,3.3084388859479996,-5.607476187382866,0.6763147500569999,handshake
7.5,2.9176862692939993,-5.2141535150992,0.55989282796724,handshake
8.0,4.290341099342,-6.587712533066,0.962192887522,handshake
8.5,4.090728957628,-8.5867177248276,-0.3168634440437998,handshake
9.0,3.0537656065940006,-5.4270277011240005,0.24889308508929736,handshake
9.5,0.5680896514839996,-7.2401315969672,0.4374976410212,handshake
10.0,0.8365977466640001,-9.098147673406,-0.0691147717049399,handshake
10.5,-1.326700896228,-8.279906209827999,0.8258068275636399,handshake
11.0,3.160043393960001,-5.8248218718662805,0.7371804526186,handshake
11.5,4.548469194612,-5.8924348228894,0.0617932339406,handshake
12.0,3.2175664698411763,-6.797181414325688,0.0196884865918137,handshake
12.5,4.150362557024001,-6.0758469535438,1.0601482004442002,handshake
13.0,1.5112451620399998,-7.504587066508,0.5874569237944001,handshake
13.5,-2.7021925276200007,-9.397810613722,-0.3654375252862,handshake
14.0,-0.1190461644839999,-8.516053995358,0.8192474428132,handshake
14.5,5.270874153311,-7.293207372154,0.4701706164106,handshake
15.0,7.510970664618001,-6.5529839603228,0.8599405612463236,handshake
15.5,2.421836148966,-9.441262518166,1.459143499492,handshake
16.0,-0.013358150924,-9.270213295638,-0.2016949068261999,handshake
16.5,-1.958719536394,-10.081269466499998,0.0972821492122799,handshake
17.0,2.5204681748499995,-6.867869340608,-1.7777988109893996,handshake
17.5,5.474100810918519,-6.998354267056,0.6246719561244001,handshake
18.0,5.980835296017647,-7.008541970398038,0.7789756970419608,handshake
18.5,3.5393772759799997,-7.632964522617999,1.1009680134378,handshake
19.0,-2.530559696962,-9.94211542912,0.4258667332129999,handshake
19.5,-2.575269203866,-9.690393648254,0.7706992852269999,handshake
20.0,2.3226578987119995,-7.953791760984,1.8484682738406,handshake
20.5,5.974694753719999,-8.244563305259998,-0.2139779030612,handshake
21.0,5.342087473747999,-7.9393393791716,0.7718046801141001,handshake
21.5,3.566513303634,-7.826922962742279,1.6502136288099998,handshake
22.0,-1.2819857759979998,-11.706135051060002,-0.39969363268926,handshake
22.5,-1.530370983852,-10.01510098822,0.248845086738,handshake
23.0,2.0349924877999994,-7.837538922208,-0.1524736051743999,handshake
23.5,5.142203314248349,-8.595865664958,-0.1391081693745999,handshake
24.0,5.823286071460196,-7.743285376021569,0.24420696379635165,handshake
24.5,2.43152464624,-7.3911912234684,-0.1238815147524,handshake
25.0,-2.96929778236,-8.1032128602,-1.2117708099745998,handshake
25.5,0.2049417390419999,-9.680467730478,-0.0263849649562,handshake
26.0,-0.615098482584,-8.4460056788142,0.5421398193032,handshake
26.5,2.269952838818,-8.45056962392,0.5335403322825999,handshake
27.0,3.8487736174279985,-7.040360033062001,0.7582653199896002,handshake
27.5,4.606820278462001,-7.470699399676,0.2811295377753999,handshake
28.0,5.734294493636799,-6.364154674278,0.120636189164,handshake
28.5,1.6866085147139998,-7.374511865994,0.3756263870233999,handshake
29.0,-1.143777689702,-8.875377453992,0.7298787646912,handshake
29.5,-2.59847509593,-7.0367512720139995,-0.0222901508714,handshake
30.0,1.6525976425078432,-7.692490613658824,0.0374632339209803,handshake
30.5,4.40923892116,-6.207704935124,1.1273465874418,handshake
31.0,3.16909647436,-5.8660105710599995,1.1647220754144,handshake
31.5,3.079344637474,-4.6145100398556,0.591156089838,handshake
32.0,1.6425331389539997,-5.910384576224799,-1.4690894108356003,handshake
32.5,-0.8770202623540001,-5.934203077501999,-0.943439822592,handshake
33.0,0.0312941110280002,-5.502186352646,0.0348941219949999,handshake
33.5,0.08886901251831578,-4.9434859948612,0.2830121094979999,handshake
34.0,-0.1775461656159999,-5.010360132496559,1.026104602916,handshake
34.5,-1.1662843823760003,-5.243244531861849,0.7991462334692,handshake
35.0,1.9361921911801991,-5.312016407825199,-0.655089836694,handshake
35.5,2.3387591657078004,-5.280925236024,0.1016420254339999,handshake
36.0,2.901396237198038,-5.6430514246745105,-0.107997786487451,handshake
36.5,2.028489683366,-6.57365638232,0.1627308986679999,handshake
37.0,2.187817807924,-6.160034544429999,0.3131228544909999,handshake
37.5,-1.5136735340259997,-1.0864614105956,-0.685842005909,handshake
38.0,-2.3333852354520004,-1.219720797323,-1.1711519792102,handshake
38.5,-0.328532489308,-3.960652072624,1.0305811581186,handshake
39.0,1.20292680139554,-2.018238390034,-0.3328849866905999,handshake
39.5,2.0124557058,-2.9713848663986,0.8447941224736,handshake
40.0,2.4932621449979995,-7.093041370139998,1.2346166811058,handshake
40.5,1.4450698607559995,-7.096992918438,1.1452661985078,handshake
41.0,1.7237845635960003,-7.142481543433999,0.7000284868278,handshake
41.5,3.1329765504259997,-7.250738677418,1.911324382841,handshake
42.0,1.348841450717647,-7.276665835160588,0.1155782555260784,handshake
42.5,-0.1958104581799998,-8.2904127032076,0.6472590730342,handshake
43.0,0.6817988635180001,-7.137414126730001,2.3923109971614,handshake
43.5,-0.5577450264300002,-5.373398048136,0.6883429718884,handshake
44.0,-0.8507537390859997,-7.404569331696001,0.993415977922,handshake
44.5,0.1267381371945627,-6.564637461469999,1.756769379504,handshake
45.0,0.8914567807559999,-6.148932439106,1.96835345746318,handshake
45.5,2.8485018498697996,-7.172463316724002,0.89472205247432,handshake
46.0,3.51621174184294,-5.669125154894,-0.0246656269815999,handshake
46.5,2.3461398958306,-6.074420857997027,-0.599480800744,handshake
47.0,1.560441003588,-6.289371809874652,0.5185402664248,handshake
47.5,1.9455375855094,-5.963526021928999,0.9715404198031998,handshake
48.0,1.426337328411765,-6.723018732847058,1.6150843325376472,handshake
48.5,2.2269315435080435,-7.4096985443358,1.89401181970636,handshake
49.0,0.4131162059,-7.28259160688,2.2414169049647996,handshake
49.5,1.8905573467149777,-1.4652320011398,-1.11643494554028,handshake
50.0,0.2111608847812,0.099378943943818,-0.3210010179399999,handshake
50.5,2.334285075308,-4.418789775118273,1.079798869576,handshake
51.0,2.9558372471379992,-10.389920211626,2.9616610305139996,handshake
51.5,3.455565789718,-7.238033437997999,1.33526057475,handshake
52.0,2.72263436984,-10.262588168142,0.2001080258099999,handshake
52.5,1.57887819778,-9.169533601244,0.9227798848982,handshake
53.0,0.0002814379400002,-10.604563224404,1.3522230864336,handshake
53.5,-1.118638322968,-6.564937654406001,-0.8551500822119601,handshake
54.0,-0.8586981285098038,-4.561521660056862,-0.3603524436225491,handshake
54.5,-0.0400466913479999,-2.7899183330358,-0.6286203515130001,handshake
55.0,3.1706141194820003,-3.2718458821420007,-0.3900616414457999,handshake
55.5,4.4766142936544,-4.316255386604,0.42539264096568,handshake
56.0,2.5151506119533997,-4.5558490475368005,0.4985419353448,handshake
56.5,1.7411529741417922,-3.3930693162579995,0.016536479526,handshake
57.0,-2.4332783775611997,-4.8846460469520006,-0.3290344168651999,handshake
57.5,-3.071245471786,-6.824665708534,-0.0776017242034,handshake
58.0,2.604313364916001,-4.82333848784,0.0255615702779999,handshake
58.5,5.737754793109999,-4.158683043422,-0.1548212487217999,handshake
59.0,3.3017761829399994,-8.763397667026,0.456834770829,handshake
59.5,-1.3560005689460002,-4.9115281824779995,-1.0665033470358,handshake
60.0,0.1592939994666665,-6.668691856444705,0.2282991322109804,handshake
60.5,-0.2950603136671998,-6.88531072526,0.7081076322936001,handshake
61.0,-3.1886448975080004,-7.904898670620001,-0.9807400985045202,handshake
61.5,1.0373819866728435,-6.361607632943999,1.107745668686,handshake
62.0,0.8520867988719998,-7.64540929744,0.6001593049543998,handshake
62.5,1.9338000368760004,-7.939224247643999,0.2406098674862,handshake
63.0,3.3511300272700004,-7.754425113350001,0.1936570080885675,handshake
63.5,1.584376066002,-6.705517749609999,0.1079289370819999,handshake
64.0,1.4055460383799998,-5.938131373627533,0.0132579847799999,handshake
64.5,0.2168440156951997,-5.0300607570453,-0.0763837231766,handshake
